price_paid,address,lat,lon
227500, 40 NIGHTINGALE ROAD LIVERPOOL L12 0QF,53.45201,-2.876963
227500, 24 HIGH STREET LIVERPOOL L15 8HG,53.398817,-2.920509
227000, 25 BAMPTON ROAD LIVERPOOL L16 6AX,53.401544,-2.893568
227000,APARTMENT 1103 31 STRAND STREET LIVERPOOL L1 8LP,53.403277,-2.990794
226500, 1 BRIDGE GARDENS LIVERPOOL L12 0LS,53.439764,-2.879684
225000, 11 BRACKEN WOOD LIVERPOOL L12 0NG,53.454016,-2.886009
225000, 23 SCORE LANE LIVERPOOL L16 6AN,53.404004,-2.898124
225000, 91 FALLBROOK DRIVE LIVERPOOL L12 5LZ,53.441168,-2.905195
225000, 5 NORWICH ROAD LIVERPOOL L15 9HL,53.392187,-2.913896
225000, 47 TYNWALD HILL LIVERPOOL L13 7DN,53.421574,-2.921205
225000, 48 BERRY STREET LIVERPOOL L1 4JQ,53.40052,-2.976363
224950, 69 BANKFIELD ROAD LIVERPOOL L13 0BD,53.424219,-2.921188
224000, 7 THOMAS LANE LIVERPOOL L14 5NR,53.415505,-2.891448
223950, 6 KENTS BANK LIVERPOOL L12 0HH,53.44345,-2.90251
222000, 30 WHINFELL ROAD LIVERPOOL L12 2AT,53.422668,-2.90394
221000, 7 BARNSIDE COURT LIVERPOOL L16 5HE,53.398674,-2.884807
220000, 47 RIMMER AVENUE LIVERPOOL L16 2NE,53.404987,-2.872764
220000, 7 MINTON CLOSE LIVERPOOL L12 0SN,53.450982,-2.879751
220000, 12 MASEFIELD GROVE LIVERPOOL L16 3GF,53.401336,-2.880061
220000, 44 BARNHAM DRIVE LIVERPOOL L16 5ES,53.397633,-2.881418
220000, 7 BASIL ROAD LIVERPOOL L16 5EJ,53.400313,-2.889293
220000, 12 GENERAL DRIVE LIVERPOOL L12 4ZB,53.43306,-2.890882
220000, 59 TOWERS ROAD LIVERPOOL L16 8NU,53.393158,-2.896976
220000, 60 ELDRED ROAD LIVERPOOL L16 8PD,53.393214,-2.897784
220000, 45 NORSEMAN CLOSE LIVERPOOL L12 5LS,53.4367,-2.907735
220000, 4 BEECH PARK LIVERPOOL L12 1LP,53.426697,-2.912111
220000, 6 BEVERLEY ROAD LIVERPOOL L15 9HF,53.393304,-2.914166
220000, 48 ORIEL DRIVE LIVERPOOL L10 3JL,53.487712,-2.946493
219950, 90 BENTHAM DRIVE LIVERPOOL L16 5EU,53.400872,-2.886796
219950, 186 BLACKMOOR DRIVE LIVERPOOL L12 3HB,53.421761,-2.892831
219500, 23 TITHEBARN GROVE LIVERPOOL L15 6TG,53.396842,-2.91234
218000, 60 CHILDWALL ROAD LIVERPOOL L15 6UX,53.397522,-2.909185
217500, 14 QUEENSCOURT ROAD LIVERPOOL L12 8RH,53.423623,-2.898909
217000, 79 WOODSORREL ROAD LIVERPOOL L15 6UD,53.394696,-2.906997
216995, 19 JUBILEE AVENUE LIVERPOOL L14 3NB,53.40706,-2.893943
216995, 15 JUBILEE AVENUE LIVERPOOL L14 3NB,53.40706,-2.893943
215000, 62 BUTTERMERE ROAD LIVERPOOL L16 2NN,53.403101,-2.871099
215000, 12 HIGH BEECHES LIVERPOOL L16 3GA,53.406647,-2.879789
215000, 7 SURBY CLOSE LIVERPOOL L16 3GU,53.400976,-2.882223
215000, 250 WOOLTON ROAD LIVERPOOL L16 8NE,53.390334,-2.89924
215000, 54 WAVERTREE NOOK ROAD LIVERPOOL L15 7LQ,53.402143,-2.902868
215000, 23 WHINFELL ROAD LIVERPOOL L12 2AS,53.422794,-2.903652
215000, 47 WOODSORREL ROAD LIVERPOOL L15 6UB,53.395704,-2.908154
215000, 88 WOOLTON ROAD LIVERPOOL L15 6TH,53.393526,-2.909326
215000, 6 MIMOSA ROAD LIVERPOOL L15 6UF,53.394879,-2.910563
215000, 18 WEST DERBY VILLAGE LIVERPOOL L12 5HW,53.433091,-2.910712
215000, 350 WEST DERBY ROAD LIVERPOOL L13 7HG,53.42551,-2.92809
215000, 23 SEFTON DRIVE LIVERPOOL L10 8JB,53.480348,-2.935374
215000,APARTMENT 606 3 KENYONS STEPS LIVERPOOL L1 3BH,53.403049,-2.990112
213995, 5 CHAUCER DRIVE LIVERPOOL L12 0LH,53.448635,-2.880586
213500, 40 HEYWOOD ROAD LIVERPOOL L15 7LS,53.403405,-2.900198
212500, 100 CHELWOOD AVENUE LIVERPOOL L16 3NW,53.402377,-2.879044
